Iteration: 157	 Current Reward: 986.87	 Std Rewards: 187.18	 Time per iteration: 12.2259
Iteration: 158	 Current Reward: 986.72	 Std Rewards: 157.27	 Time per iteration: 12.3285
Iteration: 159	 Current Reward: 992.43	 Std Rewards: 241.34	 Time per iteration: 12.2460
Iteration: 160	 Current Reward: 995.03	 Std Rewards: 36.03	 Time per iteration: 13.0570
Iteration: 161	 Current Reward: 985.84	 Std Rewards: 188.55	 Time per iteration: 12.3257
Iteration: 162	 Current Reward: 992.95	 Std Rewards: 115.83	 Time per iteration: 12.2240
Iteration: 163	 Current Reward: 989.38	 Std Rewards: 161.24	 Time per iteration: 12.2268
Iteration: 164	 Current Reward: 991.53	 Std Rewards: 190.84	 Time per iteration: 12.2290
Iteration: 165	 Current Reward: 986.02	 Std Rewards: 231.93	 Time per iteration: 12.1327
Iteration: 166	 Current Reward: 994.36	 Std Rewards: 199.75	 Time per iteration: 12.2510
Iteration: 167	 Current Reward: 991.83	 Std Rewards: 154.54	 Time per iteration: 12.3264
Iteration: 168	 Current Reward: 992.94	 Std Rewards: 114.81	 Time per iteration: 12.4263
Iteration: 169	 Current Reward: 995.42	 Std Rewards: 182.58	 Time per iteration: 12.3281
Iteration: 170	 Current Reward: 982.26	 Std Rewards: 237.70	 Time per iteration: 12.2291
Iteration: 171	 Current Reward: 991.39	 Std Rewards: 219.12	 Time per iteration: 12.1304
Iteration: 172	 Current Reward: 994.49	 Std Rewards: 184.05	 Time per iteration: 12.4481
Iteration: 173	 Current Reward: 995.26	 Std Rewards: 149.50	 Time per iteration: 12.3259
Iteration: 174	 Current Reward: 992.26	 Std Rewards: 185.65	 Time per iteration: 12.3241
Iteration: 175	 Current Reward: 994.81	 Std Rewards: 20.77	 Time per iteration: 12.5272
Iteration: 176	 Current Reward: 993.25	 Std Rewards: 152.61	 Time per iteration: 12.3280
Iteration: 177	 Current Reward: 983.84	 Std Rewards: 164.73	 Time per iteration: 12.4298
Iteration: 178	 Current Reward: 996.72	 Std Rewards: 160.64	 Time per iteration: 12.3467
Iteration: 179	 Current Reward: 989.92	 Std Rewards: 210.85	 Time per iteration: 12.3239
Iteration: 180	 Current Reward: 986.87	 Std Rewards: 243.98	 Time per iteration: 12.0221
Iteration: 181	 Current Reward: 990.33	 Std Rewards: 234.42	 Time per iteration: 12.2234
Iteration: 182	 Current Reward: 992.63	 Std Rewards: 262.74	 Time per iteration: 12.1283
Iteration: 183	 Current Reward: 986.69	 Std Rewards: 243.83	 Time per iteration: 12.6407
Iteration: 184	 Current Reward: 985.37	 Std Rewards: 229.64	 Time per iteration: 12.3511
Iteration: 185	 Current Reward: 81.61	 Std Rewards: 245.77	 Time per iteration: 12.2269
Iteration: 186	 Current Reward: 984.83	 Std Rewards: 303.78	 Time per iteration: 11.8251
Iteration: 187	 Current Reward: 984.74	 Std Rewards: 117.26	 Time per iteration: 12.3264
Iteration: 188	 Current Reward: 984.35	 Std Rewards: 120.73	 Time per iteration: 12.4276
Iteration: 189	 Current Reward: 996.03	 Std Rewards: 222.84	 Time per iteration: 12.1308
Iteration: 190	 Current Reward: 986.58	 Std Rewards: 211.76	 Time per iteration: 12.5670
Iteration: 191	 Current Reward: 984.82	 Std Rewards: 174.58	 Time per iteration: 12.3210
Iteration: 192	 Current Reward: 996.96	 Std Rewards: 54.40	 Time per iteration: 12.3204
Iteration: 193	 Current Reward: 993.69	 Std Rewards: 187.98	 Time per iteration: 12.1272
Iteration: 194	 Current Reward: 981.15	 Std Rewards: 121.30	 Time per iteration: 12.3428
Iteration: 195	 Current Reward: 994.80	 Std Rewards: 148.62	 Time per iteration: 12.1224
Iteration: 196	 Current Reward: 994.27	 Std Rewards: 261.89	 Time per iteration: 11.7199
Iteration: 197	 Current Reward: 992.98	 Std Rewards: 295.92	 Time per iteration: 11.5226
Iteration: 198	 Current Reward: 996.14	 Std Rewards: 153.24	 Time per iteration: 12.4332
Iteration: 199	 Current Reward: 997.22	 Std Rewards: 195.49	 Time per iteration: 12.2466
Iteration: 200	 Current Reward: 989.79	 Std Rewards: 276.38	 Time per iteration: 11.8281
Iteration: 201	 Current Reward: 991.08	 Std Rewards: 235.32	 Time per iteration: 11.9272
Iteration: 202	 Current Reward: 985.73	 Std Rewards: 207.45	 Time per iteration: 12.1292
Iteration: 203	 Current Reward: 979.65	 Std Rewards: 168.69	 Time per iteration: 12.2316
Iteration: 204	 Current Reward: 994.43	 Std Rewards: 261.43	 Time per iteration: 12.0389
Iteration: 205	 Current Reward: 993.26	 Std Rewards: 194.31	 Time per iteration: 12.1302
Iteration: 206	 Current Reward: 982.06	 Std Rewards: 146.93	 Time per iteration: 12.4325
Iteration: 207	 Current Reward: 995.02	 Std Rewards: 204.08	 Time per iteration: 12.7382
Iteration: 208	 Current Reward: 988.13	 Std Rewards: 141.33	 Time per iteration: 12.2352
Iteration: 209	 Current Reward: 995.27	 Std Rewards: 293.14	 Time per iteration: 11.5335
Iteration: 210	 Current Reward: 992.44	 Std Rewards: 230.85	 Time per iteration: 12.2301
Iteration: 211	 Current Reward: 988.59	 Std Rewards: 161.72	 Time per iteration: 12.3288
Iteration: 212	 Current Reward: 985.40	 Std Rewards: 193.37	 Time per iteration: 12.4306
Iteration: 213	 Current Reward: 995.19	 Std Rewards: 202.98	 Time per iteration: 12.2360
Iteration: 214	 Current Reward: 995.99	 Std Rewards: 268.60	 Time per iteration: 12.2501
Iteration: 215	 Current Reward: 991.33	 Std Rewards: 294.49	 Time per iteration: 11.9323
Iteration: 216	 Current Reward: 985.03	 Std Rewards: 204.47	 Time per iteration: 12.3298
Iteration: 217	 Current Reward: 991.87	 Std Rewards: 286.86	 Time per iteration: 11.9278
Iteration: 218	 Current Reward: 984.12	 Std Rewards: 222.99	 Time per iteration: 12.2370
Iteration: 219	 Current Reward: 993.84	 Std Rewards: 256.95	 Time per iteration: 12.3338
Iteration: 220	 Current Reward: 991.38	 Std Rewards: 269.81	 Time per iteration: 11.9310
Iteration: 221	 Current Reward: 989.18	 Std Rewards: 276.28	 Time per iteration: 11.8288
Iteration: 222	 Current Reward: 981.30	 Std Rewards: 300.95	 Time per iteration: 11.5296
Iteration: 223	 Current Reward: 991.51	 Std Rewards: 222.39	 Time per iteration: 12.3336
Iteration: 224	 Current Reward: 995.33	 Std Rewards: 271.32	 Time per iteration: 12.0474
Iteration: 225	 Current Reward: 991.59	 Std Rewards: 268.37	 Time per iteration: 12.2309
Iteration: 226	 Current Reward: 992.07	 Std Rewards: 298.52	 Time per iteration: 11.8296
Iteration: 227	 Current Reward: 991.68	 Std Rewards: 276.84	 Time per iteration: 12.2314
Iteration: 228	 Current Reward: 989.66	 Std Rewards: 204.84	 Time per iteration: 12.3339
Iteration: 229	 Current Reward: 996.44	 Std Rewards: 176.28	 Time per iteration: 12.4495
Iteration: 230	 Current Reward: 994.78	 Std Rewards: 257.59	 Time per iteration: 12.3363
Iteration: 231	 Current Reward: 987.81	 Std Rewards: 231.96	 Time per iteration: 12.6378
Iteration: 232	 Current Reward: 992.68	 Std Rewards: 210.88	 Time per iteration: 12.4316
Iteration: 233	 Current Reward: 995.26	 Std Rewards: 241.09	 Time per iteration: 12.3352
Iteration: 234	 Current Reward: 982.49	 Std Rewards: 158.62	 Time per iteration: 12.5481
Iteration: 235	 Current Reward: 995.30	 Std Rewards: 193.11	 Time per iteration: 12.3339
Iteration: 236	 Current Reward: 986.82	 Std Rewards: 189.93	 Time per iteration: 12.3312
Iteration: 237	 Current Reward: 985.60	 Std Rewards: 270.26	 Time per iteration: 11.8293
Iteration: 238	 Current Reward: 995.06	 Std Rewards: 161.11	 Time per iteration: 12.4370
Iteration: 239	 Current Reward: 977.61	 Std Rewards: 196.00	 Time per iteration: 12.3497
Iteration: 240	 Current Reward: 995.37	 Std Rewards: 148.43	 Time per iteration: 12.4335
Iteration: 241	 Current Reward: 995.47	 Std Rewards: 293.74	 Time per iteration: 11.5318
Iteration: 242	 Current Reward: 991.97	 Std Rewards: 212.97	 Time per iteration: 12.2299
Iteration: 243	 Current Reward: 984.46	 Std Rewards: 220.82	 Time per iteration: 12.3375
Iteration: 244	 Current Reward: 993.08	 Std Rewards: 212.93	 Time per iteration: 12.2510
Iteration: 245	 Current Reward: 994.02	 Std Rewards: 184.75	 Time per iteration: 12.6352
Iteration: 246	 Current Reward: 993.90	 Std Rewards: 254.28	 Time per iteration: 12.0309
Iteration: 247	 Current Reward: 987.21	 Std Rewards: 283.00	 Time per iteration: 11.8317
Iteration: 248	 Current Reward: 989.17	 Std Rewards: 238.33	 Time per iteration: 12.2369
Iteration: 249	 Current Reward: 994.86	 Std Rewards: 153.85	 Time per iteration: 12.4492
Iteration: 250	 Current Reward: 993.34	 Std Rewards: 104.30	 Time per iteration: 12.4373
Iteration: 251	 Current Reward: 995.56	 Std Rewards: 221.59	 Time per iteration: 12.3304
Iteration: 252	 Current Reward: 989.41	 Std Rewards: 194.97	 Time per iteration: 12.2311
Iteration: 253	 Current Reward: 983.67	 Std Rewards: 225.56	 Time per iteration: 12.3434
Iteration: 254	 Current Reward: 990.84	 Std Rewards: 145.70	 Time per iteration: 13.0584
Iteration: 255	 Current Reward: 995.65	 Std Rewards: 250.02	 Time per iteration: 11.8311
Iteration: 256	 Current Reward: 994.13	 Std Rewards: 260.44	 Time per iteration: 12.1286
Iteration: 257	 Current Reward: 993.88	 Std Rewards: 59.70	 Time per iteration: 12.5324
Iteration: 258	 Current Reward: 993.51	 Std Rewards: 197.12	 Time per iteration: 12.2355
Iteration: 259	 Current Reward: 991.48	 Std Rewards: 240.08	 Time per iteration: 12.0491
Iteration: 260	 Current Reward: 984.63	 Std Rewards: 208.83	 Time per iteration: 12.3357
Iteration: 261	 Current Reward: 994.87	 Std Rewards: 250.79	 Time per iteration: 12.1270
Iteration: 262	 Current Reward: 984.63	 Std Rewards: 272.91	 Time per iteration: 12.0326
Iteration: 263	 Current Reward: 985.34	 Std Rewards: 242.60	 Time per iteration: 12.4389
Iteration: 264	 Current Reward: 983.98	 Std Rewards: 258.21	 Time per iteration: 12.0485
Iteration: 265	 Current Reward: 992.91	 Std Rewards: 307.23	 Time per iteration: 11.7302
Iteration: 266	 Current Reward: 992.80	 Std Rewards: 197.01	 Time per iteration: 12.3331
Iteration: 267	 Current Reward: 996.07	 Std Rewards: 263.54	 Time per iteration: 12.1293
